object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861265237083308098,1.7511560916900635,NaN,0.47652703523635864,2.2788059906588688E-17,1.0,8.330105815103014E-16
-861265177084440081,0.47443604469299316,5.743699406357808E-24,0.6350880265235901,NaN,1.0,NaN
-861264944085402237,1.3474944829940796,4.936695575714111,1.0,4.465941234443188E-14,1.2227858304977417,3.5781216621398926
-861264881083494838,0.2357429563999176,2.8717048380244466E-19,0.9775420427322388,NaN,1.0,2.21308823711297E-7
-861264859085210624,0.41265740990638733,5.827730053273308E-24,0.3869205117225647,NaN,1.0,NaN
-861264744084412587,0.17527557909488678,1.4519887220253069E-24,0.6863678693771362,7.993829122948659E-13,1.0,1.7460189544182825E-11
-861264616084203908,0.41219669580459595,4.808605070212691E-28,0.3540671467781067,1.0865392422660975E-15,1.0,NaN
-861264614085569401,4.909587860107422,4.93226957321167,0.20789282023906708,0.025993088260293007,1.3698322772979736,0.7939187288284302
-861264588083881721,0.3801841139793396,1.6657914136054662E-18,0.25706785917282104,NaN,1.0,NaN
-861264425085206645,0.3820982575416565,NaN,0.3954523801803589,3.46429445130525E-8,1.0,NaN
-861264312085839813,0.00314432755112648,28.46897315979004,0.8484014868736267,1.2293262755143624E-14,1.333741307258606,128454.296875
-861264297084791274,0.9469834566116333,NaN,0.7910139560699463,8.572874060464467E-17,1.0,1.7981889018574932E-15
-861264277087677028,0.34294670820236206,1.3181037737836987E-22,0.5891989469528198,2.0230690386813244E-11,1.0,1.2744563182565116E-9
-861264082087206928,10.730088233947754,102.4383544921875,0.5543373823165894,0.9683018326759338,0.6151737570762634,2.8303072452545166
-861263980083597627,0.34480828046798706,4.418849427356196E-27,0.6372729539871216,NaN,1.0,NaN
-861263950084226805,0.3564453423023224,NaN,0.6574656963348389,NaN,1.0,NaN
-861263773084734560,0.206552192568779,1.152913310447588E-25,0.6827284693717957,NaN,1.0,NaN
-861263754087503847,0.37931007146835327,0.18839192390441895,0.9919723868370056,0.6015382409095764,0.3002396821975708,0.15267272293567657
-861263634083330017,0.7234293222427368,NaN,0.3774852752685547,1.6772785417507041E-12,1.0,2.254824148575918E-12
-861263599085324179,0.7058471441268921,0.7240884304046631,0.07330623269081116,0.09747397154569626,0.31072792410850525,0.7633488178253174
-861263477084444866,0.6422035098075867,7.244592475518547E-24,0.8344686627388,2.3103225062215405E-12,1.0,2.065215012891919E-11
-861263454087589024,7.726869106292725,152.19219970703125,0.4263363182544708,0.6146044731140137,0.45907506346702576,4.484297275543213
-861263353084433783,0.7682077884674072,NaN,0.6278444528579712,3.212024743404207E-11,1.0,NaN
-861263326083434997,0.16083203256130219,NaN,0.8526581525802612,2.1119664177227104E-12,1.0,2.469228155277392E-9
-861263320084715672,0.44473427534103394,NaN,0.4847031235694885,8.020741731375181E-13,1.0,4.7260589539077635E-12
-861263261086908591,7.334066867828369,62.697444915771484,0.5461911559104919,0.8409121036529541,0.5780185461044312,2.4035191535949707
-861263039086591827,9.878401756286621,0.7637475728988647,0.9482037425041199,0.6639779806137085,1.6686606407165527,0.5225030183792114
-861262916083431473,0.3184899687767029,NaN,0.8061521053314209,NaN,1.0,9.994855369911551E-16
-861262787084414525,0.32478606700897217,NaN,0.6766324043273926,NaN,1.0,NaN
-861262726083886880,0.1982136368751526,3.1657391114534914E-19,0.6466371417045593,NaN,1.0,NaN
-861262595085419574,29.79414939880371,418.1341247558594,0.1093791127204895,0.004581827204674482,3.191889762878418,17.249351501464844
-861262529085690922,0.6787035465240479,5.848313998088466E-25,0.7919318675994873,NaN,1.0,5.3083912146451625E-17
-861262278083809525,0.5524016618728638,NaN,0.7982591390609741,NaN,1.0,NaN
-861262207083090598,0.22612345218658447,1.408187589607586E-20,0.7350443601608276,1.211514728538532E-7,1.0,5.113463430461707E-6
-861262192085279855,0.019358593970537186,113.90292358398438,0.9038196206092834,NaN,0.3408210277557373,0.0
-861262099087370755,1.3391616344451904,0.27802056074142456,0.36253222823143005,0.04047426953911781,0.3000306189060211,0.024539092555642128
-861262092085627408,0.007577311713248491,0.0031635835766792297,0.9181934595108032,0.34133511781692505,5.482548713684082,0.8938665390014648
-861261965084684690,0.20730242133140564,NaN,0.8562544584274292,NaN,1.0,NaN
-861261946087665474,0.6346117854118347,NaN,0.4086153507232666,NaN,1.0,5.244383317101319E-16
-861261933085568114,2.2141199111938477,0.6265961527824402,0.19955159723758698,0.02720566652715206,0.4322945177555084,0.162249356508255
-861261735083388139,0.5237968564033508,NaN,0.43603092432022095,5.4741501857488475E-18,1.0,1.1583470691745116E-16
-861261730083083632,0.2462354600429535,NaN,0.9476280808448792,6.448225717012941E-16,1.0,NaN
-861261709087563503,6.637698173522949,24.412458419799805,0.9634370803833008,0.8574596643447876,0.886091411113739,2.046722650527954
-861261569087574427,0.5511632561683655,0.5937706232070923,0.5908343195915222,0.6921179294586182,0.8207153081893921,1.8607828617095947
-861261461083607868,0.944318413734436,1.5190272064347331E-24,0.6713663339614868,7.621714294213012E-17,1.0,NaN
-861261435083695126,0.28311461210250854,8.737749407648913E-26,0.7350025773048401,NaN,1.0,NaN
-861261068084561136,0.309678852558136,1.0486258987773703E-24,0.9473501443862915,1.726439412437497E-12,1.0,3.05938065679745E-12
-861260780084858303,0.2963309586048126,NaN,0.841173529624939,NaN,1.0,7.60939936160222E-16
-861260725085009407,0.0056189969182014465,0.0,0.03000212460756302,4.334364815518385E-22,0.3000001609325409,4.965730208991874E-22
